LINESEARCH!!!
LINESEARCH LR: 0.0001220703125
step 0: train loss 10.9888, val loss 10.9901
iter 2130: loss 4.0118, time 3022.36ms, mfu 21.78%
iter 2140: loss 4.2650, time 3027.04ms, mfu 21.82%
iter 2150: loss 3.9791, time 3025.52ms, mfu 21.87%
iter 2160: loss 4.1034, time 3029.04ms, mfu 21.90%
iter 2170: loss 3.9920, time 3027.66ms, mfu 21.94%
iter 2180: loss 3.9617, time 3024.85ms, mfu 21.97%
iter 2190: loss 3.9764, time 3021.72ms, mfu 22.00%
iter 2200: loss 4.0781, time 3023.87ms, mfu 22.03%
iter 2210: loss 4.1475, time 3022.95ms, mfu 22.05%
iter 2220: loss 4.0558, time 3019.13ms, mfu 22.08%
iter 2230: loss 4.0033, time 3024.08ms, mfu 22.09%
iter 2240: loss 4.0018, time 3024.06ms, mfu 22.11%
iter 2250: loss 4.1265, time 3025.82ms, mfu 22.13%
iter 2260: loss 3.9466, time 3030.39ms, mfu 22.13%
iter 2270: loss 3.9428, time 3031.91ms, mfu 22.14%
iter 2280: loss 3.9426, time 3034.51ms, mfu 22.15%
iter 2290: loss 4.0941, time 3032.26ms, mfu 22.15%
iter 2300: loss 4.0011, time 3028.11ms, mfu 22.16%
iter 2310: loss 3.9307, time 3029.88ms, mfu 22.17%
iter 2320: loss 4.0600, time 3020.58ms, mfu 22.18%
iter 2330: loss 3.9942, time 3019.39ms, mfu 22.19%
iter 2340: loss 3.8038, time 3024.51ms, mfu 22.20%
iter 2350: loss 4.0484, time 3027.31ms, mfu 22.20%
iter 2360: loss 4.0728, time 3027.09ms, mfu 22.21%
iter 2370: loss 3.8972, time 3027.85ms, mfu 22.21%
iter 2380: loss 4.0423, time 3033.29ms, mfu 22.21%
iter 2390: loss 3.9262, time 3024.58ms, mfu 22.21%
iter 2400: loss 3.8577, time 3019.40ms, mfu 22.22%
iter 2410: loss 4.0561, time 3030.82ms, mfu 22.22%
iter 2420: loss 4.0839, time 3028.68ms, mfu 22.22%
iter 2430: loss 3.8327, time 3028.45ms, mfu 22.22%
iter 2440: loss 3.9613, time 3027.39ms, mfu 22.22%
iter 2450: loss 3.8937, time 3014.75ms, mfu 22.24%
iter 2460: loss 3.8485, time 3022.35ms, mfu 22.24%
iter 2470: loss 3.9137, time 3025.24ms, mfu 22.24%
iter 2480: loss 3.9891, time 3019.21ms, mfu 22.25%
iter 2490: loss 4.0888, time 3027.70ms, mfu 22.25%
iter 2500: loss 3.8975, time 3029.14ms, mfu 22.24%
iter 2510: loss 3.8846, time 3028.94ms, mfu 22.24%
iter 2520: loss 3.9226, time 3037.58ms, mfu 22.24%
iter 2530: loss 4.0565, time 3029.14ms, mfu 22.23%
iter 2540: loss 4.0071, time 3028.35ms, mfu 22.23%
iter 2550: loss 3.9692, time 3032.81ms, mfu 22.23%
iter 2560: loss 3.8542, time 3023.72ms, mfu 22.23%
iter 2570: loss 4.1999, time 3023.74ms, mfu 22.24%
iter 2580: loss 4.0148, time 3024.24ms, mfu 22.24%
iter 2590: loss 3.9753, time 3014.22ms, mfu 22.25%
iter 2600: loss 3.8730, time 3022.89ms, mfu 22.25%
iter 2610: loss 3.9498, time 3017.72ms, mfu 22.26%
iter 2620: loss 4.0547, time 3018.49ms, mfu 22.26%
iter 2630: loss 3.7858, time 3019.89ms, mfu 22.27%
iter 2640: loss 3.9741, time 3022.34ms, mfu 22.27%
iter 2650: loss 3.9211, time 3021.53ms, mfu 22.27%
iter 2660: loss 3.8876, time 3017.16ms, mfu 22.27%
iter 2670: loss 4.1236, time 3018.15ms, mfu 22.28%
iter 2680: loss 3.9942, time 3018.51ms, mfu 22.28%
iter 2690: loss 3.8450, time 3019.25ms, mfu 22.28%
iter 2700: loss 3.8994, time 3022.40ms, mfu 22.28%
iter 2710: loss 3.9392, time 3022.34ms, mfu 22.28%
iter 2720: loss 3.8560, time 3019.86ms, mfu 22.28%
iter 2730: loss 3.7760, time 3030.96ms, mfu 22.28%
iter 2740: loss 3.8607, time 3022.23ms, mfu 22.28%
iter 2750: loss 3.9493, time 3021.04ms, mfu 22.28%
iter 2760: loss 3.8420, time 3026.93ms, mfu 22.27%
iter 2770: loss 3.8452, time 3031.85ms, mfu 22.27%
iter 2780: loss 3.7013, time 3033.99ms, mfu 22.26%
iter 2790: loss 3.8168, time 3028.19ms, mfu 22.26%
iter 2800: loss 4.0651, time 3033.65ms, mfu 22.25%
iter 2810: loss 3.9940, time 3025.72ms, mfu 22.25%
iter 2820: loss 3.9682, time 3024.38ms, mfu 22.25%
iter 2830: loss 3.7810, time 3033.91ms, mfu 22.25%
iter 2840: loss 3.9229, time 3029.08ms, mfu 22.24%
iter 2850: loss 4.0425, time 3025.33ms, mfu 22.25%
iter 2860: loss 3.9481, time 3026.57ms, mfu 22.25%
iter 2870: loss 3.7264, time 3021.21ms, mfu 22.25%
iter 2880: loss 3.9895, time 3022.07ms, mfu 22.25%
iter 2890: loss 4.1061, time 3008.90ms, mfu 22.26%
iter 2900: loss 4.1015, time 2998.68ms, mfu 22.28%
iter 2910: loss 3.6576, time 3003.92ms, mfu 22.30%
iter 2920: loss 3.9191, time 3005.62ms, mfu 22.31%
iter 2930: loss 3.9718, time 3006.28ms, mfu 22.32%
iter 2940: loss 4.0115, time 3006.65ms, mfu 22.32%
iter 2950: loss 3.8987, time 3008.05ms, mfu 22.33%
iter 2960: loss 3.8067, time 3008.58ms, mfu 22.33%
