step 0: train loss 10.9886, val loss 10.9897
iter 2320: loss 3.7300, time 3051.60ms, mfu 22.03%
iter 2330: loss 3.7558, time 3048.03ms, mfu 22.03%
iter 2340: loss 3.7075, time 3057.06ms, mfu 22.03%
iter 2350: loss 3.5180, time 3043.67ms, mfu 22.04%
iter 2360: loss 3.6371, time 3046.94ms, mfu 22.05%
iter 2370: loss 3.5499, time 3052.30ms, mfu 22.05%
iter 2380: loss 3.8312, time 3049.83ms, mfu 22.05%
iter 2390: loss 3.7470, time 3054.61ms, mfu 22.05%
iter 2400: loss 3.6684, time 3054.96ms, mfu 22.05%
iter 2410: loss 3.7560, time 3063.80ms, mfu 22.04%
iter 2420: loss 3.6766, time 3059.29ms, mfu 22.04%
iter 2430: loss 3.3587, time 3058.41ms, mfu 22.04%
iter 2440: loss 3.6392, time 3060.16ms, mfu 22.03%
iter 2450: loss 3.7075, time 3050.26ms, mfu 22.04%
iter 2460: loss 3.5646, time 3012.16ms, mfu 22.07%
iter 2470: loss 3.6071, time 3052.66ms, mfu 22.07%
iter 2480: loss 3.7097, time 3056.63ms, mfu 22.06%
iter 2490: loss 3.7739, time 3057.50ms, mfu 22.06%
iter 2500: loss 3.3883, time 3054.33ms, mfu 22.06%
iter 2510: loss 3.6798, time 3057.89ms, mfu 22.05%
iter 2520: loss 3.6673, time 3047.57ms, mfu 22.06%
iter 2530: loss 3.5164, time 3044.75ms, mfu 22.06%
iter 2540: loss 3.4592, time 3051.63ms, mfu 22.06%
iter 2550: loss 3.4623, time 3056.62ms, mfu 22.06%
iter 2560: loss 3.5610, time 3059.24ms, mfu 22.05%
iter 2570: loss 3.6008, time 3057.38ms, mfu 22.05%
iter 2580: loss 3.5709, time 3045.94ms, mfu 22.06%
iter 2590: loss 3.4607, time 3042.24ms, mfu 22.06%
iter 2600: loss 3.4943, time 3047.15ms, mfu 22.07%
iter 2610: loss 3.6707, time 3043.16ms, mfu 22.07%
iter 2620: loss 3.6400, time 3051.63ms, mfu 22.07%
iter 2630: loss 3.6515, time 3052.02ms, mfu 22.07%
iter 2640: loss 3.5431, time 3060.26ms, mfu 22.06%
iter 2650: loss 3.6926, time 3053.27ms, mfu 22.06%
iter 2660: loss 3.7807, time 3056.82ms, mfu 22.06%
iter 2670: loss 3.5105, time 3058.32ms, mfu 22.05%
iter 2680: loss 3.5855, time 3057.65ms, mfu 22.05%
iter 2690: loss 3.7217, time 3053.28ms, mfu 22.05%
iter 2700: loss 3.5013, time 3046.52ms, mfu 22.06%
iter 2710: loss 3.5522, time 3050.43ms, mfu 22.06%
iter 2720: loss 3.4765, time 3038.30ms, mfu 22.07%
iter 2730: loss 3.5189, time 3050.23ms, mfu 22.07%
iter 2740: loss 3.4927, time 3042.95ms, mfu 22.07%
iter 2750: loss 3.6092, time 3040.35ms, mfu 22.08%
iter 2760: loss 3.6949, time 3047.28ms, mfu 22.08%
iter 2770: loss 3.5948, time 3051.40ms, mfu 22.08%
iter 2780: loss 3.4401, time 3051.03ms, mfu 22.08%
iter 2790: loss 3.8003, time 3044.70ms, mfu 22.08%
iter 2800: loss 3.4318, time 3045.16ms, mfu 22.09%
iter 2810: loss 3.4373, time 3045.94ms, mfu 22.09%
iter 2820: loss 3.5259, time 3047.36ms, mfu 22.09%
iter 2830: loss 3.6130, time 3052.15ms, mfu 22.09%
iter 2840: loss 3.5732, time 3052.20ms, mfu 22.08%
iter 2850: loss 3.5640, time 3048.34ms, mfu 22.08%
iter 2860: loss 3.4277, time 3057.33ms, mfu 22.08%
iter 2870: loss 3.5543, time 3044.67ms, mfu 22.08%
iter 2880: loss 3.4749, time 3043.07ms, mfu 22.09%
iter 2890: loss 3.6383, time 3051.60ms, mfu 22.08%
iter 2900: loss 3.6904, time 3057.22ms, mfu 22.08%
iter 2910: loss 3.4316, time 3061.08ms, mfu 22.07%
iter 2920: loss 3.4392, time 3057.77ms, mfu 22.06%
iter 2930: loss 3.5649, time 3059.26ms, mfu 22.06%
iter 2940: loss 3.5784, time 3054.43ms, mfu 22.06%
iter 2950: loss 3.5008, time 3053.16ms, mfu 22.06%
iter 2960: loss 3.6900, time 3063.45ms, mfu 22.05%
iter 2970: loss 3.5282, time 3057.48ms, mfu 22.05%
iter 2980: loss 3.5275, time 3051.89ms, mfu 22.05%
iter 2990: loss 3.5477, time 3057.64ms, mfu 22.04%
step 3000: train loss 3.5276, val loss 3.5337
saving checkpoint to out
iter 3000: loss 3.7760, time 25473.54ms, mfu 20.10%
iter 3010: loss 3.5484, time 3036.44ms, mfu 20.31%
iter 3020: loss 3.6143, time 3020.08ms, mfu 20.51%
iter 3030: loss 3.2938, time 3022.07ms, mfu 20.69%
iter 3040: loss 3.4931, time 3024.94ms, mfu 20.84%
iter 3050: loss 3.6298, time 3029.89ms, mfu 20.98%
iter 3060: loss 3.5498, time 3030.61ms, mfu 21.11%
iter 3070: loss 3.5085, time 3032.17ms, mfu 21.22%
iter 3080: loss 3.5465, time 3037.23ms, mfu 21.31%
iter 3090: loss 3.6355, time 3040.88ms, mfu 21.39%
iter 3100: loss 3.4198, time 3044.53ms, mfu 21.47%
iter 3110: loss 3.5414, time 3048.54ms, mfu 21.53%
iter 3120: loss 3.3846, time 3048.18ms, mfu 21.58%
iter 3130: loss 3.4899, time 3042.56ms, mfu 21.64%
iter 3140: loss 3.4183, time 3048.10ms, mfu 21.68%
iter 3150: loss 3.6320, time 3039.13ms, mfu 21.73%
iter 3160: loss 3.5522, time 3036.54ms, mfu 21.77%
iter 3170: loss 3.6157, time 3038.91ms, mfu 21.81%
iter 3180: loss 3.4882, time 3041.11ms, mfu 21.85%
iter 3190: loss 3.4262, time 3044.10ms, mfu 21.87%
iter 3200: loss 3.3325, time 3042.74ms, mfu 21.90%
iter 3210: loss 3.7280, time 3050.69ms, mfu 21.92%
iter 3220: loss 3.4054, time 3055.25ms, mfu 21.93%
iter 3230: loss 3.4837, time 3053.28ms, mfu 21.94%
iter 3240: loss 3.5738, time 3059.75ms, mfu 21.95%
iter 3250: loss 3.5460, time 3047.29ms, mfu 21.96%
iter 3260: loss 3.6639, time 3053.43ms, mfu 21.97%
iter 3270: loss 3.4243, time 3060.62ms, mfu 21.97%
iter 3280: loss 3.4160, time 3055.80ms, mfu 21.98%
iter 3290: loss 3.4788, time 3051.65ms, mfu 21.99%
iter 3300: loss 3.6684, time 3057.78ms, mfu 21.99%
iter 3310: loss 3.2742, time 3047.31ms, mfu 22.00%
iter 3320: loss 3.5213, time 3054.42ms, mfu 22.01%
iter 3330: loss 3.4740, time 3053.99ms, mfu 22.01%
iter 3340: loss 3.5442, time 3057.06ms, mfu 22.01%
iter 3350: loss 3.5252, time 3052.69ms, mfu 22.02%
iter 3360: loss 3.5112, time 3059.27ms, mfu 22.01%
iter 3370: loss 3.3574, time 3057.77ms, mfu 22.02%
iter 3380: loss 3.7192, time 3065.32ms, mfu 22.01%
iter 3390: loss 3.4661, time 3066.00ms, mfu 22.01%
iter 3400: loss 3.3205, time 3061.64ms, mfu 22.00%
iter 3410: loss 3.2997, time 3055.99ms, mfu 22.01%
iter 3420: loss 3.4717, time 3062.60ms, mfu 22.00%
iter 3430: loss 3.5345, time 3049.64ms, mfu 22.01%
iter 3440: loss 3.5443, time 3054.26ms, mfu 22.02%
iter 3450: loss 3.4741, time 3037.51ms, mfu 22.03%
iter 3460: loss 3.4478, time 3046.92ms, mfu 22.04%
iter 3470: loss 3.5778, time 3050.09ms, mfu 22.04%
iter 3480: loss 3.4551, time 3043.26ms, mfu 22.05%
iter 3490: loss 3.3461, time 3054.91ms, mfu 22.05%
iter 3500: loss 3.5229, time 3039.46ms, mfu 22.06%
iter 3510: loss 3.4519, time 3045.90ms, mfu 22.06%
iter 3520: loss 3.4545, time 3048.67ms, mfu 22.07%
iter 3530: loss 3.6046, time 3053.24ms, mfu 22.06%
iter 3540: loss 3.5160, time 3054.41ms, mfu 22.06%
iter 3550: loss 3.2685, time 3058.20ms, mfu 22.06%
iter 3560: loss 3.3934, time 3063.07ms, mfu 22.05%
iter 3570: loss 3.5266, time 3056.79ms, mfu 22.05%
iter 3580: loss 3.5402, time 3047.93ms, mfu 22.05%
iter 3590: loss 3.4768, time 3049.72ms, mfu 22.05%
iter 3600: loss 3.4189, time 3052.15ms, mfu 22.05%
iter 3610: loss 3.4597, time 3065.09ms, mfu 22.05%
iter 3620: loss 3.5985, time 3046.01ms, mfu 22.05%
iter 3630: loss 3.3312, time 3058.45ms, mfu 22.05%
iter 3640: loss 3.4309, time 3059.85ms, mfu 22.04%
iter 3650: loss 3.2628, time 3051.29ms, mfu 22.05%
iter 3660: loss 3.7053, time 3061.08ms, mfu 22.04%
iter 3670: loss 3.6153, time 3058.18ms, mfu 22.04%
iter 3680: loss 3.4735, time 3061.45ms, mfu 22.03%
iter 3690: loss 3.2426, time 3053.14ms, mfu 22.04%
iter 3700: loss 3.4724, time 3052.22ms, mfu 22.04%
iter 3710: loss 3.5183, time 3063.64ms, mfu 22.03%
iter 3720: loss 3.2807, time 3059.80ms, mfu 22.03%
iter 3730: loss 3.3552, time 3064.29ms, mfu 22.02%
iter 3740: loss 3.3824, time 3062.63ms, mfu 22.02%
iter 3750: loss 3.3970, time 3057.66ms, mfu 22.02%
iter 3760: loss 3.5523, time 3061.37ms, mfu 22.02%
iter 3770: loss 3.3284, time 3065.78ms, mfu 22.01%
iter 3780: loss 3.5150, time 3059.30ms, mfu 22.01%
iter 3790: loss 3.3868, time 3061.68ms, mfu 22.01%
iter 3800: loss 3.5074, time 3062.97ms, mfu 22.01%
iter 3810: loss 3.3274, time 3056.21ms, mfu 22.01%
iter 3820: loss 3.3504, time 3044.12ms, mfu 22.02%
iter 3830: loss 3.4263, time 3054.54ms, mfu 22.02%
iter 3840: loss 3.4898, time 3055.88ms, mfu 22.02%
iter 3850: loss 3.3913, time 3055.06ms, mfu 22.02%
